SerialNumber,NoRecord,DateTime,ExportWhTotal,ImportWhTotal,ExportVarhTotal,ImportVarhTotal,ExportVAhTotal,ImportVAhTotal,AvgVoltPh-A,AvgVoltPh-B,AvgVoltPh-C,AvgCurrentPh-A,AvgCurrentPh-B,AvgCurrentPh-C,AvgPowerFactorTotal,AvgFrequency,Temperature,TransformerLoad,WattTotalAvg,VarTotalAvg,VATotalAvg,RecordStatus,ExportWTotal,ImportWTotal,ExportVarTotal,ImportVarTotal,ExportVATotal,ImportVATotal,ExpWhPh-A,ExpWhPh-B,ExpWhPh-C,ImpWhPh-A,ImpWhPh-B,ImpWhPh-C,AvgPFPhA,AvgPFPhB,AvgPFPhC,Spare2,Spare3,ExportWPh-A,ExportWPh-B,ExportWPh-C,ImportWPh-A,ImportWPh-B,ImportWPh-C
3141880190,,00:00.0,40031250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,38718750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,37437500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,36000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,34843750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,33906250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,33281250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,32906250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,32750000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,33312500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,34406250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,30:00.0,35593750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141880190,,00:00.0,35500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
