Date,Hour,Time,ExportWhTotal,ImportWhTotal,Weekday,Weekend,HariLibur,BulanPuasa,MakanSiang,JamTidur,Subuh,Pagi,Siang,Sore,Malam,TengahMalam
2019-12-30,0,0:00,40031250,0,,,,,,,,,,,,
2019-12-30,0,0:30,38718750,0,,,,,,,,,,,,
2019-12-30,1,1:00,37437500,0,,,,,,,,,,,,
2019-12-30,1,1:30,36000000,0,,,,,,,,,,,,
2019-12-30,2,2:00,34843750,0,,,,,,,,,,,,
2019-12-30,2,2:30,33906250,0,,,,,,,,,,,,
2019-12-30,3,3:00,33281250,0,,,,,,,,,,,,
2019-12-30,3,3:30,32906250,0,,,,,,,,,,,,
2019-12-30,4,4:00,32750000,0,,,,,,,,,,,,
2019-12-30,4,4:30,33312500,0,,,,,,,,,,,,
2019-12-30,5,5:00,34406250,0,,,,,,,,,,,,
2019-12-30,5,5:30,35593750,0,,,,,,,,,,,,
2019-12-30,6,6:00,35500000,0,,,,,,,,,,,,
2019-12-30,6,6:30,35406250,0,,,,,,,,,,,,
2019-12-30,7,7:00,35906250,0,,,,,,,,,,,,
2019-12-30,7,7:30,39687500,0,,,,,,,,,,,,
2019-12-30,8,8:00,42125000,0,,,,,,,,,,,,
2019-12-30,8,8:30,44718750,0,,,,,,,,,,,,
2019-12-30,9,9:00,46031250,0,,,,,,,,,,,,
2019-12-30,9,9:30,47343750,0,,,,,,,,,,,,
2019-12-30,10,10:00,48843750,0,,,,,,,,,,,,
2019-12-30,10,10:30,49656250,0,,,,,,,,,,,,
2019-12-30,11,11:00,48968750,0,,,,,,,,,,,,
2019-12-30,11,11:30,49312500,0,,,,,,,,,,,,
2019-12-30,12,12:00,49093750,0,,,,,,,,,,,,
2019-12-30,12,12:30,49125000,0,,,,,,,,,,,,
2019-12-30,13,13:00,49781250,0,,,,,,,,,,,,
2019-12-30,13,13:30,51812500,0,,,,,,,,,,,,
2019-12-30,14,14:00,52250000,0,,,,,,,,,,,,
2019-12-30,14,14:30,52218750,0,,,,,,,,,,,,
2019-12-30,15,15:00,51781250,0,,,,,,,,,,,,
2019-12-30,15,15:30,51156250,0,,,,,,,,,,,,
2019-12-30,16,16:00,50000000,0,,,,,,,,,,,,
2019-12-30,16,16:30,48187500,0,,,,,,,,,,,,
2019-12-30,17,17:00,47562500,0,,,,,,,,,,,,
2019-12-30,17,17:30,49218750,0,,,,,,,,,,,,
2019-12-30,18,18:00,52468750,0,,,,,,,,,,,,
2019-12-30,18,18:30,56750000,0,,,,,,,,,,,,
2019-12-30,19,19:00,55250000,0,,,,,,,,,,,,
2019-12-30,19,19:30,56406250,0,,,,,,,,,,,,
2019-12-30,20,20:00,55718750,0,,,,,,,,,,,,
2019-12-30,20,20:30,54937500,0,,,,,,,,,,,,
2019-12-30,21,21:00,54437500,0,,,,,,,,,,,,
2019-12-30,21,21:30,53000000,0,,,,,,,,,,,,
2019-12-30,22,22:00,50156250,0,,,,,,,,,,,,
2019-12-30,22,22:30,46562500,0,,,,,,,,,,,,
2019-12-30,23,23:00,44468750,0,,,,,,,,,,,,
2019-12-30,23,23:30,42906250,0,,,,,,,,,,,,
2019-12-31,0,0:00,41375000,0,,,,,,,,,,,,
2019-12-31,0,0:30,39312500,0,,,,,,,,,,,,
2019-12-31,1,1:00,37781250,0,,,,,,,,,,,,
2019-12-31,1,1:30,36937500,0,,,,,,,,,,,,
2019-12-31,2,2:00,36156250,0,,,,,,,,,,,,
2019-12-31,2,2:30,35468750,0,,,,,,,,,,,,
2019-12-31,3,3:00,34875000,0,,,,,,,,,,,,
2019-12-31,3,3:30,34000000,0,,,,,,,,,,,,
2019-12-31,4,4:00,33750000,0,,,,,,,,,,,,
2019-12-31,4,4:30,33875000,0,,,,,,,,,,,,
2019-12-31,5,5:00,34656250,0,,,,,,,,,,,,
2019-12-31,5,5:30,36031250,0,,,,,,,,,,,,
2019-12-31,6,6:00,36437500,0,,,,,,,,,,,,
2019-12-31,6,6:30,36312500,0,,,,,,,,,,,,
2019-12-31,7,7:00,36156250,0,,,,,,,,,,,,
2019-12-31,7,7:30,38406250,0,,,,,,,,,,,,
2019-12-31,8,8:00,41031250,0,,,,,,,,,,,,
2019-12-31,8,8:30,43281250,0,,,,,,,,,,,,
2019-12-31,9,9:00,44562500,0,,,,,,,,,,,,
2019-12-31,9,9:30,45562500,0,,,,,,,,,,,,
2019-12-31,10,10:00,46562500,0,,,,,,,,,,,,
2019-12-31,10,10:30,46843750,0,,,,,,,,,,,,
2019-12-31,11,11:00,46875000,0,,,,,,,,,,,,
2019-12-31,11,11:30,46250000,0,,,,,,,,,,,,
2019-12-31,12,12:00,45312500,0,,,,,,,,,,,,
2019-12-31,12,12:30,45343750,0,,,,,,,,,,,,
2019-12-31,13,13:00,45656250,0,,,,,,,,,,,,
2019-12-31,13,13:30,45187500,0,,,,,,,,,,,,
2019-12-31,14,14:00,44156250,0,,,,,,,,,,,,
2019-12-31,14,14:30,43656250,0,,,,,,,,,,,,
2019-12-31,15,15:00,43593750,0,,,,,,,,,,,,
2019-12-31,15,15:30,43312500,0,,,,,,,,,,,,
2019-12-31,16,16:00,42625000,0,,,,,,,,,,,,
2019-12-31,16,16:30,42218750,0,,,,,,,,,,,,
2019-12-31,17,17:00,42406250,0,,,,,,,,,,,,
2019-12-31,17,17:30,43937500,0,,,,,,,,,,,,
2019-12-31,18,18:00,49250000,0,,,,,,,,,,,,
2019-12-31,18,18:30,53312500,0,,,,,,,,,,,,
2019-12-31,19,19:00,53375000,0,,,,,,,,,,,,
2019-12-31,19,19:30,52500000,0,,,,,,,,,,,,
2019-12-31,20,20:00,50906250,0,,,,,,,,,,,,
2019-12-31,20,20:30,49687500,0,,,,,,,,,,,,
2019-12-31,21,21:00,48125000,0,,,,,,,,,,,,
2019-12-31,21,21:30,47000000,0,,,,,,,,,,,,
2019-12-31,22,22:00,44968750,0,,,,,,,,,,,,
2019-12-31,22,22:30,43656250,0,,,,,,,,,,,,
2019-12-31,23,23:00,42031250,0,,,,,,,,,,,,
2019-12-31,23,23:30,41031250,0,,,,,,,,,,,,
2020-01-01,0,0:00,39843750,0,,,,,,,,,,,,
2020-01-01,0,0:30,37906250,0,,,,,,,,,,,,
2020-01-01,1,1:00,36687500,0,,,,,,,,,,,,
2020-01-01,1,1:30,35750000,0,,,,,,,,,,,,
2020-01-01,2,2:00,34281250,0,,,,,,,,,,,,
2020-01-01,2,2:30,32781250,0,,,,,,,,,,,,
2020-01-01,3,3:00,31906250,0,,,,,,,,,,,,
2020-01-01,3,3:30,31125000,0,,,,,,,,,,,,
2020-01-01,4,4:00,30812500,0,,,,,,,,,,,,
2020-01-01,4,4:30,30562500,0,,,,,,,,,,,,
2020-01-01,5,5:00,31343750,0,,,,,,,,,,,,
2020-01-01,5,5:30,31562500,0,,,,,,,,,,,,
2020-01-01,6,6:00,31000000,0,,,,,,,,,,,,
2020-01-01,6,6:30,30843750,0,,,,,,,,,,,,
2020-01-01,7,7:00,30437500,0,,,,,,,,,,,,
2020-01-01,7,7:30,30375000,0,,,,,,,,,,,,
2020-01-01,8,8:00,30437500,0,,,,,,,,,,,,
2020-01-01,8,8:30,31406250,0,,,,,,,,,,,,
2020-01-01,9,9:00,31937500,0,,,,,,,,,,,,
2020-01-01,9,9:30,32875000,0,,,,,,,,,,,,
2020-01-01,10,10:00,33656250,0,,,,,,,,,,,,
2020-01-01,10,10:30,34156250,0,,,,,,,,,,,,
2020-01-01,11,11:00,34343750,0,,,,,,,,,,,,
2020-01-01,11,11:30,33937500,0,,,,,,,,,,,,
2020-01-01,12,12:00,34125000,0,,,,,,,,,,,,
2020-01-01,12,12:30,34437500,0,,,,,,,,,,,,
2020-01-01,13,13:00,34625000,0,,,,,,,,,,,,
2020-01-01,13,13:30,34156250,0,,,,,,,,,,,,
2020-01-01,14,14:00,33875000,0,,,,,,,,,,,,
2020-01-01,14,14:30,33437500,0,,,,,,,,,,,,
2020-01-01,15,15:00,33093750,0,,,,,,,,,,,,
2020-01-01,15,15:30,33343750,0,,,,,,,,,,,,
2020-01-01,16,16:00,33500000,0,,,,,,,,,,,,
2020-01-01,16,16:30,33968750,0,,,,,,,,,,,,
2020-01-01,17,17:00,34937500,0,,,,,,,,,,,,
2020-01-01,17,17:30,37437500,0,,,,,,,,,,,,
2020-01-01,18,18:00,43656250,0,,,,,,,,,,,,
2020-01-01,18,18:30,49281250,0,,,,,,,,,,,,
2020-01-01,19,19:00,50281250,0,,,,,,,,,,,,
2020-01-01,19,19:30,50062500,0,,,,,,,,,,,,
2020-01-01,20,20:00,49156250,0,,,,,,,,,,,,
2020-01-01,20,20:30,48437500,0,,,,,,,,,,,,
2020-01-01,21,21:00,47250000,0,,,,,,,,,,,,
2020-01-01,21,21:30,45937500,0,,,,,,,,,,,,
2020-01-01,22,22:00,43718750,0,,,,,,,,,,,,
2020-01-01,22,22:30,40781250,0,,,,,,,,,,,,
2020-01-01,23,23:00,38687500,0,,,,,,,,,,,,
2020-01-01,23,23:30,36687500,0,,,,,,,,,,,,
2020-01-02,0,0:00,35343750,0,,,,,,,,,,,,
2020-01-02,0,0:30,34187500,0,,,,,,,,,,,,
2020-01-02,1,1:00,32750000,0,,,,,,,,,,,,
2020-01-02,1,1:30,31562500,0,,,,,,,,,,,,
2020-01-02,2,2:00,31187500,0,,,,,,,,,,,,
2020-01-02,2,2:30,30531250,0,,,,,,,,,,,,
2020-01-02,3,3:00,30093750,0,,,,,,,,,,,,
2020-01-02,3,3:30,29500000,0,,,,,,,,,,,,
2020-01-02,4,4:00,29375000,0,,,,,,,,,,,,
2020-01-02,4,4:30,30062500,0,,,,,,,,,,,,
2020-01-02,5,5:00,30968750,0,,,,,,,,,,,,
2020-01-02,5,5:30,32031250,0,,,,,,,,,,,,
2020-01-02,6,6:00,32156250,0,,,,,,,,,,,,
2020-01-02,6,6:30,32218750,0,,,,,,,,,,,,
2020-01-02,7,7:00,32843750,0,,,,,,,,,,,,
2020-01-02,7,7:30,36562500,0,,,,,,,,,,,,
2020-01-02,8,8:00,39531250,0,,,,,,,,,,,,
2020-01-02,8,8:30,42750000,0,,,,,,,,,,,,
2020-01-02,9,9:00,44750000,0,,,,,,,,,,,,
2020-01-02,9,9:30,46250000,0,,,,,,,,,,,,
2020-01-02,10,10:00,47187500,0,,,,,,,,,,,,
2020-01-02,10,10:30,48156250,0,,,,,,,,,,,,
2020-01-02,11,11:00,48781250,0,,,,,,,,,,,,
2020-01-02,11,11:30,48093750,0,,,,,,,,,,,,
2020-01-02,12,12:00,48812500,0,,,,,,,,,,,,
2020-01-02,12,12:30,49562500,0,,,,,,,,,,,,
2020-01-02,13,13:00,49750000,0,,,,,,,,,,,,
2020-01-02,13,13:30,50906250,0,,,,,,,,,,,,
2020-01-02,14,14:00,50781250,0,,,,,,,,,,,,
2020-01-02,14,14:30,50687500,0,,,,,,,,,,,,
2020-01-02,15,15:00,50375000,0,,,,,,,,,,,,
2020-01-02,15,15:30,50281250,0,,,,,,,,,,,,
2020-01-02,16,16:00,49375000,0,,,,,,,,,,,,
2020-01-02,16,16:30,48343750,0,,,,,,,,,,,,
2020-01-02,17,17:00,49843750,0,,,,,,,,,,,,
2020-01-02,17,17:30,52125000,0,,,,,,,,,,,,
2020-01-02,18,18:00,55531250,0,,,,,,,,,,,,
2020-01-02,18,18:30,58656250,0,,,,,,,,,,,,
2020-01-02,19,19:00,59187500,0,,,,,,,,,,,,
2020-01-02,19,19:30,59750000,0,,,,,,,,,,,,
2020-01-02,20,20:00,58812500,0,,,,,,,,,,,,
2020-01-02,20,20:30,57593750,0,,,,,,,,,,,,
2020-01-02,21,21:00,55875000,0,,,,,,,,,,,,
2020-01-02,21,21:30,54156250,0,,,,,,,,,,,,
2020-01-02,22,22:00,51187500,0,,,,,,,,,,,,
2020-01-02,22,22:30,48125000,0,,,,,,,,,,,,
2020-01-02,23,23:00,44218750,0,,,,,,,,,,,,
2020-01-02,23,23:30,42062500,0,,,,,,,,,,,,
2020-01-03,0,0:00,40343750,0,,,,,,,,,,,,
2020-01-03,0,0:30,38718750,0,,,,,,,,,,,,
2020-01-03,1,1:00,37437500,0,,,,,,,,,,,,
2020-01-03,1,1:30,36593750,0,,,,,,,,,,,,
2020-01-03,2,2:00,35843750,0,,,,,,,,,,,,
2020-01-03,2,2:30,35156250,0,,,,,,,,,,,,
2020-01-03,3,3:00,34437500,0,,,,,,,,,,,,
2020-01-03,3,3:30,34062500,0,,,,,,,,,,,,
2020-01-03,4,4:00,33968750,0,,,,,,,,,,,,
2020-01-03,4,4:30,34437500,0,,,,,,,,,,,,
2020-01-03,5,5:00,35343750,0,,,,,,,,,,,,
2020-01-03,5,5:30,36343750,0,,,,,,,,,,,,
2020-01-03,6,6:00,36468750,0,,,,,,,,,,,,
2020-01-03,6,6:30,36250000,0,,,,,,,,,,,,
2020-01-03,7,7:00,36000000,0,,,,,,,,,,,,
2020-01-03,7,7:30,39000000,0,,,,,,,,,,,,
2020-01-03,8,8:00,41468750,0,,,,,,,,,,,,
2020-01-03,8,8:30,43812500,0,,,,,,,,,,,,
2020-01-03,9,9:00,45781250,0,,,,,,,,,,,,
2020-01-03,9,9:30,47531250,0,,,,,,,,,,,,
2020-01-03,10,10:00,48593750,0,,,,,,,,,,,,
2020-01-03,10,10:30,49968750,0,,,,,,,,,,,,
2020-01-03,11,11:00,49187500,0,,,,,,,,,,,,
