Date,Ket
01-01-2021,Tahun Baru
12-02-2021,Tahun Baru Imlek
11-03-2021,Isra Miraj
14-03-2021,Nyepi
02-04-2021,Wafat Isa Al Masih
01-05-2021,Hari Buruh
12-05-2021,Cuti Bersama Idul Fitri
13-05-2021,Kenaikan Isa Al Masih
13-05-2021,Idul Fitri
14-05-2021,Idul Fitri
26-05-2021,Waisak
01-06-2021,Hari Lahir Pancasila
20-07-2021,Idul Adha
10-08-2021,Tahun Baru Islam
17-08-2021,Kemerdekaan RI
19-10-2021,Maulid Nabi Muhammad
25-12-2021,Natal
01-01-2020,Tahun Baru
25-01-2020,Tahun Baru Imlek
22-03-2020,Isra Miraj
25-03-2020,Nyepi
10-04-2020,Wafat Isa Al Masih
01-05-2020,Hari Buruh
07-05-2020,Hari Raya Waisak
21-05-2020,Kenaikan Isa Al Masih
22-05-2020,Cuti Bersama Idul Fitri
24-05-2020,Idul Fitri
25-05-2020,Idul Fitri
26-05-2020,Cuti Bersama Idul Fitri
27-05-2020,Cuti Bersama Idul Fitri
01-06-2020,Hari Lahir Pancasila
31-07-2020,Idul Adha
17-08-2020,Kemerdekaan RI
20-08-2020,Tahun Baru Islam
29-10-2020,Maulid Nabi Muhammad
24-12-2020,Cuti Bersama Natal
25-12-2020,Natal
01-01-2019,Tahun Baru
05-02-2019,Tahun Baru Imlek
07-03-2019,Nyepi
03-04-2019,Iskra Miraj
19-04-2019,Wafat Isa Al Masih
01-05-2019,Hari Buruh
19-05-2019,Hari Raya Waisak
30-05-2019,Kenaikan Isa Al Masih
01-06-2019,Hari Lahir Pancasila
03-06-2019,Hari Raya Idul FItri
04-06-2019,Hari Raya Idul FItri
05-06-2019,Hari Raya Idul FItri
06-06-2019,Hari Raya Idul FItri
07-06-2019,Hari Raya Idul FItri
11-08-2019,Hari Raya Idhul Adha
17-08-2019,Kemerdekaan RI
01-09-2019,Tahun Baru Islam
09-11-2019,Maulid Nabi
24-12-2019,Hari Raya Natal
25-12-2019,Hari Raya Natal
